id,group,durability,thickness,layers,foam,solvent
1,1,44,1,2,3,0.25
2,1,123,1,2,3,0.25
3,1,52,1,2,3,0.25
4,1,62,1,2,3,0.25
5,1,65,1,2,3,0.25
6,1,82,1,2,3,0.25
7,1,93,1,2,3,0.25
8,1,14,1,2,3,0.25
9,1,69,1,2,3,0.25
10,1,121,1,2,3,0.25
11,1,43,1,2,3,0.25
12,1,65,1,2,3,0.25
13,1,14,1,2,3,0.25
14,1,69,1,2,3,0.25
15,1,82,1,2,3,0.25
16,2,152,1,2,3,0.375
17,2,131,1,2,3,0.375
18,2,62,1,2,3,0.375
19,2,192,1,2,3,0.375
20,2,205,1,2,3,0.375
21,2,221,1,2,3,0.375
22,2,71,1,2,3,0.375
23,2,59,1,2,3,0.375
24,2,95,1,2,3,0.375
25,2,35,1,2,3,0.375
26,2,52,1,2,3,0.375
27,2,91,1,2,3,0.375
28,2,91,1,2,3,0.375
29,2,130,1,2,3,0.375
30,2,84,1,2,3,0.375
31,3,260,1,2,3,0.5
32,3,37,1,2,3,0.5
33,3,109,1,2,3,0.5
34,3,248,1,2,3,0.5
35,3,162,1,2,3,0.5
36,3,65,1,2,3,0.5
37,3,241,1,2,3,0.5
38,3,213,1,2,3,0.5
39,3,256,1,2,3,0.5
40,3,257,1,2,3,0.5
41,3,308,1,2,3,0.5
42,3,203,1,2,3,0.5
43,3,85,1,2,3,0.5
44,3,190,1,2,3,0.5
45,3,171,1,2,3,0.5
46,4,59,1,2,3.5,0.25
47,4,4,1,2,3.5,0.25
48,4,84,1,2,3.5,0.25
49,4,79,1,2,3.5,0.25
50,4,66,1,2,3.5,0.25
51,4,60,1,2,3.5,0.25
52,4,79,1,2,3.5,0.25
53,4,67,1,2,3.5,0.25
54,4,71,1,2,3.5,0.25
55,4,61,1,2,3.5,0.25
56,4,6,1,2,3.5,0.25
57,4,74,1,2,3.5,0.25
58,4,27,1,2,3.5,0.25
59,4,84,1,2,3.5,0.25
60,4,38,1,2,3.5,0.25
61,5,32,1,2,3.5,0.375
62,5,31,1,2,3.5,0.375
63,5,181,1,2,3.5,0.375
64,5,172,1,2,3.5,0.375
65,5,122,1,2,3.5,0.375
66,5,97,1,2,3.5,0.375
67,5,137,1,2,3.5,0.375
68,5,58,1,2,3.5,0.375
69,5,67,1,2,3.5,0.375
70,5,137,1,2,3.5,0.375
71,5,151,1,2,3.5,0.375
72,5,101,1,2,3.5,0.375
73,5,71,1,2,3.5,0.375
74,5,106,1,2,3.5,0.375
75,5,105,1,2,3.5,0.375
76,6,219,1,2,3.5,0.5
77,6,92,1,2,3.5,0.5
78,6,433,1,2,3.5,0.5
79,6,134,1,2,3.5,0.5
80,6,221,1,2,3.5,0.5
81,6,137,1,2,3.5,0.5
82,6,95,1,2,3.5,0.5
83,6,298,1,2,3.5,0.5
84,6,246,1,2,3.5,0.5
85,6,68,1,2,3.5,0.5
86,6,28,1,2,3.5,0.5
87,6,97,1,2,3.5,0.5
88,6,154,1,2,3.5,0.5
89,6,149,1,2,3.5,0.5
90,6,187,1,2,3.5,0.5
91,7,19,1,2,4,0.25
92,7,50,1,2,4,0.25
93,7,24,1,2,4,0.25
94,7,58,1,2,4,0.25
95,7,102,1,2,4,0.25
96,7,25,1,2,4,0.25
97,7,95,1,2,4,0.25
98,7,77,1,2,4,0.25
99,7,81,1,2,4,0.25
100,7,26,1,2,4,0.25
101,7,26,1,2,4,0.25
102,7,157,1,2,4,0.25
103,7,33,1,2,4,0.25
104,7,73,1,2,4,0.25
105,7,19,1,2,4,0.25
106,8,123,1,2,4,0.375
107,8,159,1,2,4,0.375
108,8,83,1,2,4,0.375
109,8,94,1,2,4,0.375
110,8,133,1,2,4,0.375
111,8,66,1,2,4,0.375
112,8,60,1,2,4,0.375
113,8,200,1,2,4,0.375
114,8,138,1,2,4,0.375
115,8,83,1,2,4,0.375
116,8,138,1,2,4,0.375
117,8,157,1,2,4,0.375
118,8,152,1,2,4,0.375
119,8,35,1,2,4,0.375
120,8,21,1,2,4,0.375
121,9,110,1,2,4,0.5
122,9,313,1,2,4,0.5
123,9,287,1,2,4,0.5
124,9,99,1,2,4,0.5
125,9,270,1,2,4,0.5
126,9,314,1,2,4,0.5
127,9,252,1,2,4,0.5
128,9,117,1,2,4,0.5
129,9,161,1,2,4,0.5
130,9,335,1,2,4,0.5
131,9,162,1,2,4,0.5
132,9,187,1,2,4,0.5
133,9,117,1,2,4,0.5
134,9,25,1,2,4,0.5
135,9,265,1,2,4,0.5
136,10,423,1,3,3,0.25
137,10,190,1,3,3,0.25
138,10,267,1,3,3,0.25
