df,0.5%,2.5%,80%,90%,95%,97.5%,98%,99%,99.5%,99.8%,99.9%
1, 0.0000392, 0.0009820, 1.64, 2.70, 3.84, 5.02, 5.41, 6.63, 7.87, 9.54,10.82
2, 0.010, 0.050, 3.21, 4.60, 5.99, 7.37, 7.82, 9.21,10.59,12.42,13.81
3, 0.071, 0.215, 4.64, 6.25, 7.81, 9.34, 9.83,11.34,12.83,14.79,16.26
4, 0.20, 0.48, 5.98, 7.77, 9.48,11.14,11.66,13.27,14.86,16.92,18.46
5, 0.41, 0.83, 7.28, 9.23,11.07,12.83,13.38,15.08,16.74,18.90,20.51
6, 0.67, 1.23, 8.55,10.64,12.59,14.44,15.03,16.81,18.54,20.79,22.45
7, 0.98, 1.68, 9.80,12.01,14.06,16.01,16.62,18.47,20.27,22.60,24.32
8, 1.34, 2.17,11.03,13.36,15.50,17.53,18.16,20.09,21.95,24.35,26.12
9, 1.73, 2.70,12.24,14.68,16.91,19.02,19.67,21.66,23.58,26.05,27.87
10, 2.15, 3.24,13.44,15.98,18.30,20.48,21.16,23.20,25.18,27.72,29.58
11, 2.60, 3.81,14.63,17.27,19.67,21.92,22.61,24.72,26.75,29.35,31.26
12, 3.07, 4.40,15.81,18.54,21.02,23.33,24.05,26.21,28.29,30.95,32.90
13, 3.56, 5.00,16.98,19.81,22.36,24.73,25.47,27.68,29.81,32.53,34.52
14, 4.07, 5.62,18.15,21.06,23.68,26.11,26.87,29.14,31.31,34.09,36.12
15, 4.60, 6.26,19.31,22.30,24.99,27.48,28.25,30.57,32.80,35.62,37.69
16, 5.14, 6.90,20.46,23.54,26.29,28.84,29.63,31.99,34.26,37.14,39.25
17, 5.69, 7.56,21.61,24.76,27.58,30.19,30.99,33.40,35.71,38.64,40.79
18, 6.26, 8.23,22.75,25.98,28.86,31.52,32.34,34.80,37.15,40.13,42.31
19, 6.84, 8.90,23.90,27.20,30.14,32.85,33.68,36.19,38.58,41.61,43.82
20, 7.43, 9.59,25.03,28.41,31.41,34.16,35.01,37.56,39.99,43.07,45.31
21, 8.03,10.28,26.17,29.61,32.67,35.47,36.34,38.93,41.40,44.52,46.79
