state,fips,county,air_pollution,alcohol_driving_deaths,days_poor_mental_health,days_poor_physical_health,dentists,diabetes,drinking_excessive,exercise_access,flu_vaccinations,food_env_index,frequent_ment_distress,frequent_phys_distress,homeownership,income_inequality,injury_deaths,life_expectancy,life_expectancy_white,median_household_income,obesity,physical_inactivity,poor_fair_health,pop_non_english_speaker,premature_age_adjusted_mortality,premature_death,premature_death_white,prevent_hospital_stays,prevent_hospital_stays_white,primary_care_physicians,sexually_transmitted_infections,smoking,social_associations,some_college,unemployment,uninsured,bonding,bridging,linking,socialcap,pop_female,median_age,pop,pop_white,pop_black,pop_natam,pop_asian,pop_pacific,pop_hisplat,pop_over_15,pop_never_married,pop_some_college,employees_muni,employees_state,employees_fed,median_income,gini,pop_labor_force,pop_unemployed,median_monthly_housing_cost,total_adherents,protestant,catholic,orthodox,muslim,jewish,other_adherents,county_name,urban,region,democrat_2000,democrat_2004,democrat_2008,democrat_2012,democrat_2016,democrat_2020,republican_2000,republican_2004,republican_2008,republican_2012,republican_2016,republican_2020,gap_2000,gap_2004,gap_2008,gap_2012,gap_2016,gap_2020
AL,01001,Autauga County,11.7,0.2678571429,4.6540313965,4.7438888672,3.237352e-4,0.111,0.1502603126,0.6913012406,0.41,7.2,0.1412934665,0.1368522862,0.7489462467,5.2345972691,68.526994226,76.879477172,76.98586956,59338,0.333,0.347,0.2088298733,0.008202245,417.54755051,8128.5911903,7885.6653695,7108,6877,4.50418e-4,407.2,0.1808155718,12.071202076,0.6200997368,0.0362907886,0.0872168595,0.6798887252807617,0.22450530529022217,0.2638583183288574,1.1682523488998413,0.5112471836616033,37.8,55036,0.7660258739733993,0.19096591322043754,0.0030707173486445236,0.009375681372192747,7.813067810160622e-4,0.02665528018024566,44109,0.25042508331633,0.1943636892216004,32.178937422777814,36.21266080383749,27.945344865179155,55317,0.4501,25436,52.05220946689731,885,676.879661358597,628.8321636033792,32.36151069249235,0,0,0,15.685987062725621,Autauga,urbanized_area,East South Central,28.7,23.7,25.8,26.6,23.8,27,69.7,75.7,73.6,72.6,72.8,71.4,41,52,47.8,45.99999999999999,49,44.400000000000006
AL,01003,Baldwin County,10.3,0.3076923077,4.3040564688,4.2245192015,4.953629e-4,0.107,0.179583101,0.7371354895,0.44,8,0.1347533556,0.1248010767,0.7361934319,4.4177666786,72.385053972,78.450258368,78.366768821,57588,0.31,0.265,0.1750913436,0.0054351698,353.34311052,7354.1225298,7435.7611865,4041,3975,7.289727e-4,325,0.174890326,10.205617322,0.6737161982,0.0361538216,0.1133340447,0.6708795428276062,0.2504350543022156,0.24033132195472717,1.1616458892822266,0.5105871361132966,42.6,203360,0.8652684893784421,0.09546616837136113,0.008202202989771833,0.0069089299763965386,0,0.04439909520062942,166364,0.25007213098987763,0.22268882769472856,32.04169944925256,16.015932336742722,8.689024390243903,52562,0.4618,94742,55.04422536995208,896,531.7422434367542,445.45579239020105,76.86061503854279,1.0424382081035855,0,0,8.383397799906728,Baldwin,urbanized_area,East South Central,24.8,22.5,23.8,21.6,19.4,22.4,72.4,76.4,75.3,77.4,76.5,76.2,47.60000000000001,53.900000000000006,51.5,55.8,57.1,53.8
AL,01005,Barbour County,11.5,0.4,5.1855944125,5.4302788594,3.617218e-4,0.176,0.1284401555,0.5316676986,0.37,5.6,0.1658625221,0.171848975,0.6139777923,5.6814100186,70.274611559,75.34193493,76.930717216,34382,0.417,0.235,0.2959180171,0.0163168252,497.35006209,10253.573403,8140.1741774,6209,6608,3.165809e-4,716.3,0.2199998453,7.5187969925000004,0.3485764862,0.0517138421,0.1224279246,0.5818471312522888,0.18562987446784973,0.238214448094368,1.005691409111023,0.4665852448379833,39.7,26201,0.4656310827830999,0.4804396778748903,0.002060990038548147,0.006297469562230449,0,0.04213579634365101,21627,0.3448467193785546,0.1796496316934468,22.709056906224955,31.41101484676157,8.625624976145948,33368,0.4622,10139,124.37123976723542,543,549.9872527952799,519.3939614670212,20.94183632589139,0,0,0,9.651455002367339,Barbour,urban_cluster,East South Central,49.9,44.8,49,51.4,46.5,45.8,49,54.7,50.4,48.2,52.1,53.5,0.8999999999999986,9.900000000000006,1.3999999999999986,3.1999999999999957,5.600000000000001,7.700000000000003
AL,01007,Bibb County,11.2,0.275862069,4.5516988486,4.5914824378,2.232143e-4,0.145,0.1557004237,0.1625136374,0.38,7.8,0.1401753635,0.1362657549,0.7507309942,4.3685805106,108.15602837,73.571820279,73.273065938,46064,0.376,0.335,0.1943972416,0.0026821005,589.04111681,11977.539484,12241.384199,5961,6163,4.852656e-4,339.7,0.1911419989,8.3818598906,0.4413735343,0.0397182773,0.1020625259,0.6677324175834656,0.17582948505878448,0.2127787172794342,1.056340575218201,0.4574402125775022,39.8,22580,0.7671833480956599,0.22050487156775908,0.0036315323294951285,0,0,0.023516386182462354,18743,0.30203275889665476,0.1758635961027458,29.49512843224092,24.136403897254205,8.591674047829938,43404,0.4518,8899,81.8069446005169,621,498.7999127209252,498.66899410866245,0,0,0,0,0.13091861226271,Bibb,urban_cluster,East South Central,38.2,27.5,26.6,26.2,21.2,20.7,60.2,72,72.4,72.8,76.4,78.4,22,44.5,45.8,46.599999999999994,55.2,57.7
AL,01009,Blount County,11.7,0.1944444444,4.8914546677,4.8608076303,1.901798e-4,0.17,0.1423059383,0.1563448589,0.39,8.4,0.1485927083,0.1452316434,0.7862621359,4.4302623315,107.2853687,74.145825897,73.647169743,50412,0.338,0.303,0.2174529281,0.0172451994,515.61182276,11335.071134,11756.723903,4060,4123,2.240877e-4,234.4,0.1920867197,8.4463827073,0.5336107325,0.0351115732,0.1336075949,0.6863888502120972,0.19406971335411072,0.19187065958976743,1.07232928276062,0.5059566129675551,40.9,57667,0.9545320547280074,0.015866960306587824,0.0036762793278651566,0.0014566389789654394,0,0.09012086635337369,46501,0.20408163265306123,0.23554199108675672,22.196403488997174,16.47389321449009,5.288986768862608,47412,0.4302,22471,48.55146633438654,627,651.6171801402603,563.762604235721,82.76054568926415,0,0,0,5.0940302152751125,Blount,urbanized_area,East South Central,27.7,18.3,14.5,12.4,8.4,9.6,70.5,80.9,84,86.5,89.3,89.6,42.8,62.60000000000001,69.5,74.1,80.89999999999999,80
AL,01011,Bullock County,11.2,0.6,4.8913510426,5.3591593432,1.972776e-4,0.237,0.1209410123,0.0250137438,0.28,4.3,0.1585477602,0.1688096852,0.7553338875,7.4101959944,107.13807419,73.530894789,77.07520786,29267,0.372,0.246,0.3099910185,0.0044075441,562.24752995,11679.558981,8159.0394532,6632,7455,2.910079e-4,863.3,0.2289466401,7.7602095257,0.3497609415,0.0469011725,0.1144037612,0.6103038191795349,0.17788946628570557,0.2718052566051483,1.0599985122680664,0.4640198511166253,40.8,10478,0.21941210154609658,0.7563466310364574,0.010498186676846726,0.006966978430998282,0,0.003340332124451231,8684,0.46867802855826807,0.1503149456003054,29.585798816568047,24.24126741744608,2.004199274670739,29655,0.482,4882,121.26177795985252,545,577.240241891149,567.8944474986256,4.489646325820048,0,0,0,4.856148066703317,Bullock,urban_cluster,East South Central,69.2,68.1,74.1,76.3,74.9,74.7,29.2,31.7,25.7,23.5,24.2,24.8,40,36.39999999999999,48.39999999999999,52.8,50.7,49.900000000000006
AL,01013,Butler County,10.6,0.2745098039,5.340750195,5.4008061965,3.04878e-4,0.192,0.1185740343,0.4857974889,0.35,6.6,0.1691536387,0.1669670739,0.6994633274,5.4235955818,100.0470221,72.918309203,73.950029961,37365,0.433,0.395,0.2791067318,0.0049415515,609.16970743,14359.939103,13002.477159,9203,9249,2.522068e-4,761.7,0.2176533496,9.079445145,0.4167875648,0.0479021764,0.1118600954,0.6045816540718079,0.1985478699207306,0.23223769664764404,1.0353672504425049,0.5321474709331213,40.7,20126,0.5240484944847461,0.4486733578455729,6.45930636986982e-4,0.011129881745006459,0,0.0031799662128589885,16368,0.353311339198436,0.17007850541587996,24.098181456822022,22.06101560170923,13.017986683891484,36326,0.4495,8367,76.4909764551213,549,586.1459874922423,571.1080345634219,3.6759440492671978,0,0,0,11.362008879553157,Butler,urban_cluster,East South Central,46.2,40.6,43.1,46.1,42.7,41.8,52.9,59.2,56.5,53.6,56.1,57.5,6.699999999999996,18.6,13.4,7.5,13.4,15.700000000000005
AL,01015,Calhoun County,11.8,0.1875,4.8160722877,4.8803767403,5.862947e-4,0.175,0.1384223015,0.477212158,0.38,6.9,0.1519150739,0.1475440129,0.6947349721,5.0238964487,89.541547278,73.039108585,72.591977274,45400,0.385,0.317,0.2310773322,0.0099137613,574.56384163,12078.616145,12660.81444,6581,6305,6.362876e-4,654.6,0.2061256037,14.469004951,0.5924398864,0.0465283216,0.1192916752,0.6600494980812073,0.21428491175174713,0.29254525899887085,1.166879653930664,0.5187878158352592,39.1,115527,0.7455919395465995,0.20544980826992823,0.003574921879733742,0.009945726972915422,6.059189626667359e-5,0.03567131493070884,94767,0.27930608756212605,0.22650982021518778,30.97111497745116,23.752023336536045,26.35747487600301,43686,0.4629,52701,100.73812641126355,635,713.6170428094323,672.9497689167763,26.920352191073775,0.3373477718179671,2.597577842998347,0.9530074553857572,9.85898863138009,Calhoun,urbanized_area,East South Central,40.6,33.3,33.2,33.5,27.7,29.8,57.3,65.9,65.7,65.5,68.7,68.8,16.699999999999996,32.60000000000001,32.5,32,41,39
AL,01017,Chambers County,11.4,0.2857142857,4.8735807661,4.9411783568,1.784917e-4,0.199,0.1274573462,0.6186467923,0.42,6.4,0.1549667308,0.1524778731,0.677641314,4.7449321347,81.478420027,74.291076031,73.170160454,39917,0.401,0.301,0.239954736,0.0011293763,511.62651724,11112.536614,12348.555771,5622,5250,4.152701e-4,611,0.1939292705,17.79728888,0.4846033403,0.0390809112,0.1193807681,0.6214746832847595,0.1865629404783249,0.21623478829860687,1.0242724418640137,0.5185130550228647,43,33895,0.5768402419235875,0.39342085853370706,0.0028027732703938633,0.010001475143826523,0,0.021537099867237057,27895,0.2956443807133895,0.2033928308010031,25.933028470275854,15.666027437675172,8.08378816934651,37342,0.4592,15521,64.04226531795632,642,650.3288031565103,636.0660529007746,7.277509864094696,0,0,0,6.985240391641093,Chambers,urban_cluster,East South Central,47.5,41,45.5,47,41.6,41.6,51,58.5,53.9,52.2,56.4,57.3,3.5,17.5,8.399999999999999,5.200000000000003,14.799999999999995,15.699999999999996
AL,01019,Cherokee County,11.4,0.1960784314,4.7112704225,4.7756141014,1.53657e-4,0.152,0.1410656285,0.3342952788,0.41,8.3,0.1467794145,0.1436571083,0.7895530832,4.7084650307,108.87190178,73.998833761,74.236122497,42132,0.35,0.313,0.206984706,0.0040163901,545.23369024,12349.707594,11887.982301,5521,5459,3.867425e-4,321,0.1749867379,8.5083343002,0.5183621006,0.0357081397,0.1117264992,0.6630702614784241,0.2184472680091858,0.23571857810020447,1.1172361373901367,0.502533359118159,46.1,25855,0.931038483852253,0.04977760587894024,0.004834654805646877,0.0019338619222587507,0,0.015818990524076582,21691,0.18897238486008022,0.20978534132662927,29.70411912589441,22.200734867530457,12.918197640688454,40041,0.4534,10436,53.37293982368724,541,479.2412174381469,479.2412174381469,0,0,0,0,0,Cherokee,urban_cluster,East South Central,44.7,33.6,23.7,21.8,14.4,13.2,53.1,65.5,74.9,76.8,83.4,86,8.399999999999999,31.9,51.2,55,69,72.8
