n,d2,d3,D3,D4
2,1.116,0.85,0,3.285
3,1.691,0.89,0,2.579
4,2.053,0.869,0,2.271
5,2.328,0.869,0,2.12
6,2.531,0.851,0,2.009
7,2.712,0.837,0.074,1.926
8,2.837,0.815,0.138,1.862
9,2.979,0.819,0.175,1.825
10,3.068,0.795,0.223,1.777
11,3.19,0.792,0.256,1.744
12,3.258,0.768,0.293,1.707
13,3.34,0.771,0.308,1.692
14,3.409,0.765,0.326,1.674
15,3.475,0.757,0.346,1.654
16,3.536,0.75,0.364,1.636
17,3.584,0.739,0.381,1.619
18,3.637,0.733,0.395,1.605
19,3.667,0.726,0.406,1.594
20,3.728,0.732,0.411,1.589
21,3.777,0.716,0.431,1.569
22,3.807,0.704,0.445,1.555
23,3.853,0.714,0.444,1.556
24,3.889,0.716,0.448,1.552
25,3.933,0.714,0.455,1.545
26,3.966,0.7,0.47,1.53
27,3.987,0.697,0.475,1.525
28,4.027,0.703,0.476,1.524
29,4.051,0.69,0.489,1.511
30,4.079,0.694,0.489,1.511
31,4.109,0.69,0.496,1.504
32,4.138,0.694,0.497,1.503
33,4.155,0.678,0.511,1.489
34,4.188,0.671,0.519,1.481
35,4.211,0.675,0.519,1.481
36,4.242,0.673,0.524,1.476
37,4.26,0.669,0.529,1.471
38,4.278,0.677,0.526,1.474
39,4.301,0.678,0.527,1.473
40,4.309,0.67,0.534,1.466
41,4.346,0.674,0.535,1.465
42,4.355,0.672,0.537,1.463
43,4.374,0.66,0.547,1.453
44,4.395,0.663,0.548,1.452
45,4.418,0.657,0.554,1.446
46,4.42,0.655,0.555,1.445
47,4.453,0.663,0.554,1.446
48,4.473,0.669,0.551,1.449
49,4.491,0.65,0.566,1.434
50,4.513,0.651,0.567,1.433
