subgroup,unit,x
1,1,4.2
1,2,1.9
1,3,4.1
1,4,2.5
1,5,3.8
2,1,2.4
2,2,5.1
2,3,4.4
2,4,3.7
2,5,5.9
3,1,3.1
3,2,2.4
3,3,3.6
3,4,3.9
3,5,3.1
4,1,2.4
4,2,3.2
4,3,5.4
4,4,4.8
4,5,3.9
5,1,5.1
5,2,2.8
5,3,3.8
5,4,4.2
5,5,4.9
6,1,3.1
6,2,2.8
6,3,6.1
6,4,3.4
6,5,3.9
7,1,2.2
7,2,3.8
7,3,5.4
7,4,3.6
7,5,4.4
8,1,2.1
8,2,1.8
8,3,1.1
8,4,1.3
8,5,1.7
9,1,3.3
9,2,2.8
9,3,4.1
9,4,3.9
9,5,3.2
10,1,4.1
10,2,4.5
10,3,2.8
10,4,5.1
10,5,4.4
11,1,1.9
11,2,4.8
11,3,3.7
11,4,2.7
11,5,3.8
12,1,2.8
12,2,3.4
12,3,3.1
12,4,4.8
12,5,3.4
13,1,3.8
13,2,3.2
13,3,4.9
13,4,3.7
13,5,4.1
14,1,2.8
14,2,3.1
14,3,3.1
14,4,2.4
14,5,4.4
15,1,4.5
15,2,5.9
15,3,1.8
15,4,5.4
15,5,4.6
16,1,4.4
16,2,4.1
16,3,1.8
16,4,4.5
16,5,4.2
17,1,3.1
17,2,3.8
17,3,3.9
17,4,2.7
17,5,3.3
18,1,5.9
18,2,4.1
18,3,1.9
18,4,4.9
18,5,4.7
19,1,3.9
19,2,3.4
19,3,3.7
19,4,5.2
19,5,4.4
20,1,1.9
20,2,2.8
20,3,5.2
20,4,4.3
20,5,4.1
21,1,2.9
21,2,2.2
21,3,4.8
21,4,3.1
21,5,4.5
22,1,3.5
22,2,5.4
22,3,3.1
22,4,2.6
22,5,2.9
